,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Priority
11,California,No,Basic,College,2011-01-06,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Personal L3,Offer2,Agent,528.0,SUV,Medsize,High
12,California,No,Premium,Master,2011-02-06,Employed,M,77026,Urban,Married,110,9,82,0,3,Corporate Auto,Corporate L1,Offer2,Agent,472.029737,Four-Door Car,Medsize,High
13,Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,99845,Suburban,Married,110,23,25,0,8,Corporate Auto,Corporate L3,Offer2,Branch,528.0,SUV,Medsize,High
14,California,No,Basic,College,2011-01-18,Employed,M,83689,Urban,Single,70,21,10,0,8,Corporate Auto,Corporate L3,Offer4,Call Center,307.139132,Four-Door Car,Medsize,Medium
15,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,24599,Rural,Married,64,12,50,0,2,Corporate Auto,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,Medsize,Medium
16,Nevada,No,Basic,High School or Below,2011-02-06,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Personal L3,Offer2,Call Center,454.245098,Two-Door Car,Medsize,Low
17,California,No,Basic,College,2011-01-05,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,Medsize,Low
18,Oregon,No,Basic,College,2011-02-27,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal Auto,Personal L2,Offer2,Branch,308.981664,Four-Door Car,Medsize,Medium
19,California,No,Premium,High School or Below,2011-01-14,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,484.8,Four-Door Car,Small,High
20,Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal Auto,Personal L2,Offer1,Branch,355.2,Two-Door Car,Medsize,Low
21,Washington,No,Extended,Bachelor,2011-01-21,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Medsize,Low
22,Arizona,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize,High
23,Nevada,No,Basic,Bachelor,2011-02-24,Unemployed,F,0,Suburban,Single,73,4,44,0,1,Corporate Auto,Corporate L3,Offer1,Branch,554.376763,Four-Door Car,Medsize,Low
24,California,No,Basic,Bachelor,2011-02-05,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize,Low
25,Oregon,No,Basic,College,2011-01-29,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,Large,Medium
26,California,No,Premium,Bachelor,2011-02-28,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal Auto,Personal L3,Offer1,Agent,799.2,Four-Door Car,Small,Low
27,Washington,No,Extended,Master,2011-02-12,Disabled,F,10511,Urban,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Offer1,Branch,516.237951,SUV,Medsize,Medium
28,Arizona,No,Premium,College,2011-02-02,Employed,F,86584,Suburban,Single,111,33,54,0,2,Personal Auto,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large,High
29,Oregon,No,Extended,Master,2011-02-07,Employed,F,75690,Suburban,Married,80,17,44,0,1,Personal Auto,Personal L3,Offer2,Branch,384.0,Four-Door Car,Small,Low
30,Arizona,No,Basic,College,2011-02-28,Employed,M,23158,Suburban,Married,63,4,6,0,1,Personal Auto,Personal L2,Offer4,Call Center,322.294043,Four-Door Car,Small,Low
31,Nevada,No,Extended,High School or Below,2011-01-22,Employed,M,65999,Urban,Married,237,1,14,0,6,Corporate Auto,Corporate L2,Offer2,Agent,615.927769,Luxury SUV,Medsize,High
32,California,No,Basic,Bachelor,2011-01-25,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal Auto,Personal L3,Offer1,Call Center,308.15089,Four-Door Car,Medsize,Low
33,Washington,No,Basic,Bachelor,2011-01-18,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small,Medium
34,Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,37260,Rural,Married,62,19,42,0,8,Corporate Auto,Corporate L1,Offer3,Web,15.437681,Four-Door Car,Medsize,Medium
35,Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize,Medium
36,California,No,Premium,Bachelor,2011-01-08,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal Auto,Personal L3,Offer1,Agent,561.6,Four-Door Car,Small,High
37,Oregon,No,Extended,Master,2011-02-06,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal Auto,Personal L3,Offer2,Web,436.8,Four-Door Car,Small,Medium
38,Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal Auto,Personal L2,Offer3,Agent,648.0,Two-Door Car,Small,Low
39,Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,53243,Rural,Divorced,66,4,15,0,1,Personal Auto,Personal L3,Offer1,Call Center,157.397849,Four-Door Car,Medsize,Low
40,Nevada,No,Basic,High School or Below,2011-01-18,Unemployed,F,0,Suburban,Married,70,7,1,0,1,Corporate Auto,Corporate L3,Offer3,Call Center,484.318536,Two-Door Car,Medsize,Low
41,Oregon,Yes,Basic,College,2011-01-11,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,Medsize,Low
42,California,Yes,Extended,Bachelor,2011-01-28,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal Auto,Personal L2,Offer2,Agent,882.871945,Four-Door Car,Small,Low
43,Arizona,No,Basic,High School or Below,2011-02-08,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal Auto,Personal L2,Offer4,Agent,494.4,Sports Car,Medsize,High
44,Washington,No,Basic,College,2011-02-23,Employed,M,92834,Suburban,Married,61,15,56,0,1,Special Auto,Special L2,Offer2,Call Center,292.8,Four-Door Car,Large,Low
45,Oregon,No,Premium,Doctor,2011-01-25,Disabled,F,10105,Rural,Married,172,5,4,0,3,Personal Auto,Personal L2,Offer1,Branch,0.517753,SUV,Medsize,High
46,Arizona,No,Basic,Bachelor,2011-01-31,Unemployed,M,0,Suburban,Single,73,7,57,0,5,Personal Auto,Personal L3,Offer3,Call Center,579.165954,Four-Door Car,Medsize,Low
47,Oregon,No,Basic,High School or Below,2011-01-02,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Personal L2,Offer4,Agent,447.79344,Two-Door Car,Medsize,Medium
48,California,No,Extended,Bachelor,2011-02-07,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize,Low
49,Arizona,No,Basic,High School or Below,2011-01-18,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal Auto,Personal L2,Offer4,Branch,313.023175,Four-Door Car,Medsize,Low
50,Oregon,No,Basic,College,2011-01-17,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal Auto,Personal L2,Offer1,Agent,593.830288,SUV,Small,High
51,California,Yes,Basic,Bachelor,2011-01-11,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Corporate L1,Offer1,Web,508.8,SUV,Medsize,High
52,Nevada,No,Basic,High School or Below,2011-02-21,Employed,F,36014,Rural,Married,69,4,40,0,2,Special Auto,Special L1,Offer4,Branch,173.956072,Four-Door Car,Medsize,Medium
53,Washington,No,Basic,Bachelor,2011-02-16,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize,Medium
54,California,No,Premium,Bachelor,2011-01-17,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Personal L2,Offer1,Branch,831.625979,Four-Door Car,Small,Low
55,Arizona,No,Extended,College,2011-02-05,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small,Medium
56,California,No,Basic,College,2011-02-13,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Special L2,Offer2,Branch,302.56519,Four-Door Car,Medsize,Medium
57,Arizona,No,Basic,High School or Below,2011-02-23,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Personal L2,Offer1,Call Center,484.8,SUV,Small,Low
58,Oregon,No,Extended,High School or Below,2011-01-28,Disabled,F,16969,Suburban,Divorced,124,34,47,0,1,Personal Auto,Personal L3,Offer1,Call Center,704.768111,SUV,Medsize,Low
59,Oregon,No,Premium,Master,2011-02-28,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize,Low
60,Arizona,Yes,Basic,Bachelor,2011-01-02,Retired,M,17622,Suburban,Divorced,65,1,36,0,3,Personal Auto,Personal L1,Offer1,Agent,312.0,Four-Door Car,Medsize,Low
61,California,No,Premium,Bachelor,2011-01-22,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Personal L3,Offer1,Call Center,504.0,Two-Door Car,Small,High
62,Oregon,No,Extended,Bachelor,2011-01-15,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Personal L3,Offer1,Agent,863.327324,Two-Door Car,Small,Low
63,California,No,Basic,High School or Below,2011-01-27,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Personal L3,Offer1,Agent,104.331355,SUV,Medsize,High
64,Arizona,No,Basic,Bachelor,2011-01-23,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,676.391482,Four-Door Car,Large,Medium
65,Washington,No,Basic,College,2011-01-31,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize,Low
66,Oregon,No,Basic,College,2011-01-26,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize,High
67,Arizona,No,Extended,High School or Below,2011-01-10,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Personal L3,Offer4,Branch,465.258644,Two-Door Car,Small,High
68,Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large,Medium
69,California,No,Premium,College,2011-01-09,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Personal L3,Offer3,Web,500.254235,Four-Door Car,Medsize,High
70,Oregon,No,Basic,High School or Below,2011-02-24,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Offer4,Agent,281.451042,SUV,Medsize,High
71,Oregon,No,Basic,Master,2011-02-11,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Personal L2,Offer2,Web,5.434505,Two-Door Car,Large,Low
72,Oregon,No,Basic,Master,2011-02-12,Medical Leave,M,26840,Suburban,Married,64,1,47,0,1,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,Medsize,Low
73,Oregon,No,Basic,Bachelor,2011-02-04,Unemployed,M,0,Suburban,Single,104,30,3,0,5,Personal Auto,Personal L3,Offer1,Agent,960.0,Sports Car,Medsize,Medium
74,Oregon,Yes,Basic,Bachelor,2011-01-18,Employed,M,75644,Suburban,Divorced,65,5,68,0,9,Personal Auto,Personal L3,Offer2,Branch,467.803638,Two-Door Car,Medsize,Medium
75,Oregon,No,Basic,Bachelor,2011-02-11,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Small,High
76,Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,29.03416,Four-Door Car,Medsize,Medium
77,Nevada,No,Basic,College,2011-02-15,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize,High
78,Washington,No,Extended,College,2011-02-06,Employed,M,38923,Rural,Married,99,6,83,0,2,Personal Auto,Personal L3,Offer1,Agent,115.728852,Four-Door Car,Medsize,High
79,California,No,Basic,Bachelor,2011-02-27,Employed,M,61321,Rural,Single,186,0,30,0,2,Personal Auto,Personal L3,Offer2,Branch,427.63121,Luxury Car,Small,High
80,California,No,Extended,College,2011-01-26,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,25.807685,Two-Door Car,Large,High
81,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Personal L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize,Medium
82,California,No,Basic,Doctor,2011-01-27,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,Medsize,Low
83,Nevada,No,Basic,Master,2011-01-16,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large,Low
84,Oregon,No,Extended,College,2011-01-27,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small,Medium
85,Washington,No,Basic,High School or Below,2011-02-28,Employed,M,36765,Suburban,Married,66,15,32,0,2,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,Medsize,Medium
86,California,Yes,Extended,College,2011-01-25,Retired,M,23091,Suburban,Married,96,28,90,0,5,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize,Medium
87,California,No,Basic,Bachelor,2011-01-01,Employed,F,48269,Urban,Married,69,3,79,0,1,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize,Low
88,Oregon,No,Basic,Bachelor,2011-02-01,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize,Low
89,California,Yes,Extended,College,2011-02-19,Employed,M,20396,Suburban,Married,76,15,60,0,4,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize,Medium
90,Oregon,No,Premium,College,2011-01-27,Medical Leave,M,21513,Suburban,Married,119,21,81,0,2,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small,High
91,Washington,Yes,Extended,Bachelor,2011-02-27,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,Medsize,High
92,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,Medsize,Low
93,Oregon,No,Basic,Bachelor,2011-02-10,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small,Low
94,California,No,Extended,High School or Below,2011-01-24,Unemployed,F,0,Suburban,Single,77,8,10,0,9,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize,Medium
95,Oregon,No,Basic,Bachelor,2011-02-24,Employed,F,69738,Suburban,Married,74,2,26,0,2,Personal Auto,Personal L3,Offer1,Branch,492.127532,Four-Door Car,Large,High
96,Arizona,No,Basic,Master,2011-02-15,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,132.588288,SUV,Medsize,High
97,California,No,Basic,Bachelor,2011-02-16,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize,Medium
98,Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,57740,Urban,Married,74,30,87,0,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,Medium
99,Oregon,No,Extended,College,2011-02-25,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small,Medium
100,California,Yes,Basic,College,2011-01-11,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Medsize,Medium
101,California,Yes,Basic,College,2011-01-31,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize,Low
102,Oregon,No,Basic,Bachelor,2011-01-12,Employed,M,65795,Rural,Single,62,2,85,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize,Medium
103,California,Yes,Premium,College,2011-02-16,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize,Low
104,California,No,Extended,High School or Below,2011-02-09,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Offer1,Web,936.0,SUV,Medsize,High
105,Oregon,No,Extended,Bachelor,2011-01-19,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,Small,Medium
106,California,No,Basic,Bachelor,2011-01-04,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize,Medium
107,Oregon,No,Basic,High School or Below,2011-01-09,Unemployed,M,0,Suburban,Married,117,5,89,0,3,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize,High
108,California,No,Basic,Bachelor,2011-01-27,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize,Medium
109,Oregon,No,Basic,College,2011-02-14,Employed,M,79898,Urban,Married,62,5,86,0,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,Low
110,California,No,Extended,College,2011-02-27,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,408.0,Four-Door Car,Small,Medium
111,Washington,No,Extended,High School or Below,2011-02-12,Employed,M,35257,Suburban,Divorced,98,16,2,0,8,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small,Medium
112,Arizona,No,Basic,College,2011-02-26,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize,High
113,Oregon,No,Basic,Bachelor,2011-02-20,Employed,M,45506,Suburban,Single,66,16,32,0,2,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize,Medium
114,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,396.082036,Four-Door Car,Medsize,High
115,California,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Married,102,11,70,0,3,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize,Medium
116,Oregon,Yes,Extended,High School or Below,2011-02-18,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize,Medium
117,Arizona,No,Extended,High School or Below,2011-01-21,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,465.633954,Two-Door Car,Medsize,Medium
118,California,No,Basic,Bachelor,2011-01-15,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize,Low
119,California,No,Extended,College,2011-02-05,Employed,F,74665,Urban,Married,78,10,90,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,Medsize,Low
120,Washington,No,Extended,College,2011-02-24,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize,Low
121,California,No,Basic,Bachelor,2011-01-05,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,64.109663,Sports Car,Medsize,High
122,Oregon,No,Basic,High School or Below,2011-01-28,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small,Medium
123,California,No,Basic,High School or Below,2011-01-12,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize,High
124,Nevada,No,Basic,Bachelor,2011-02-16,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize,Low
125,Oregon,No,Premium,College,2011-01-03,Employed,M,42780,Suburban,Divorced,113,10,27,0,2,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize,High
126,Oregon,No,Extended,Master,2011-02-07,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,143.747794,Four-Door Car,Medsize,Low
127,Arizona,No,Extended,College,2011-01-13,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize,Low
128,Oregon,Yes,Basic,College,2011-01-03,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize,High
129,Washington,No,Basic,Master,2011-02-17,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,2.704934,Four-Door Car,Medsize,Medium
130,Arizona,No,Basic,High School or Below,2011-01-21,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Offer1,Agent,523.2,Sports Car,Medsize,Low
131,Nevada,No,Basic,Bachelor,2011-01-26,Employed,F,41611,Rural,Married,74,14,8,0,8,Special Auto,Special L2,Offer1,Branch,113.801497,Four-Door Car,Medsize,Medium
132,Oregon,No,Basic,Bachelor,2011-01-31,Employed,F,28406,Urban,Married,72,16,35,0,4,Personal Auto,Personal L3,Offer1,Call Center,192.87572,Four-Door Car,Medsize,Medium
133,Arizona,No,Premium,College,2011-01-02,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal Auto,Personal L3,Offer1,Agent,828.662719,Four-Door Car,Small,Medium
134,Arizona,No,Basic,High School or Below,2011-02-07,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Corporate Auto,Corporate L2,Offer1,Web,532.8,Four-Door Car,Small,High
135,Arizona,No,Basic,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal Auto,Personal L3,Offer1,Agent,960.0,SUV,Medsize,Low
136,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,80536,Rural,Married,119,5,83,0,3,Special Auto,Special L2,Offer1,Branch,53.798708,Sports Car,Medsize,High
137,Washington,No,Basic,College,2011-01-15,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Personal Auto,Personal L2,Offer2,Agent,606.642452,Four-Door Car,Small,Low
138,Oregon,No,Extended,College,2011-02-08,Employed,F,97732,Urban,Married,79,0,70,0,2,Personal Auto,Personal L3,Offer4,Branch,289.9122,Four-Door Car,Medsize,High
139,Arizona,No,Extended,Bachelor,2011-01-11,Employed,F,61222,Urban,Single,89,20,55,0,2,Special Auto,Special L3,Offer3,Branch,392.604371,Four-Door Car,Small,High
140,Oregon,No,Basic,College,2011-01-09,Unemployed,M,0,Suburban,Single,74,7,20,0,1,Personal Auto,Personal L1,Offer4,Web,721.242206,Two-Door Car,Large,Low
141,Arizona,No,Premium,Master,2011-02-04,Employed,M,50335,Urban,Married,140,9,54,0,1,Personal Auto,Personal L2,Offer1,Call Center,456.52385,SUV,Medsize,Medium
142,California,No,Extended,High School or Below,2011-01-21,Unemployed,F,0,Suburban,Single,127,30,11,0,6,Personal Auto,Personal L2,Offer3,Branch,960.0,Sports Car,Medsize,High
143,Washington,No,Premium,High School or Below,2011-02-16,Employed,M,63221,Suburban,Married,168,28,49,0,1,Corporate Auto,Corporate L3,Offer3,Agent,806.4,SUV,Medsize,Medium
144,Oregon,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Large,Low
145,Nevada,No,Extended,Bachelor,2011-01-18,Employed,M,64495,Urban,Married,92,34,30,0,1,Corporate Auto,Corporate L2,Offer4,Web,251.992083,Four-Door Car,Medsize,Low
146,California,No,Basic,College,2011-01-30,Unemployed,F,0,Suburban,Married,72,7,75,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,345.6,Four-Door Car,Medsize,Medium
